geonameid,name,latitude,longitude,admin1_code,admin2_code,population,timezone,city_id,pop_category
5736378,Lents,45.47984,-122.56731,OR,051,20156,America/Los_Angeles,5736378,medium
5736645,Lincoln City,44.95816,-124.01789,OR,041,8536,America/Los_Angeles,5736645,medium
5738690,Madras,44.63345,-121.12949,OR,031,6662,America/Los_Angeles,5738690,medium
5739936,McMinnville,45.21012,-123.19872,OR,071,33892,America/Los_Angeles,5739936,large
5740099,Medford,42.32652,-122.87559,OR,029,79805,America/Los_Angeles,5740099,large
5740898,Milton-Freewater,45.93263,-118.38774,OR,059,7035,America/Los_Angeles,5740898,medium
5740900,Milwaukie,45.44623,-122.63926,OR,005,20830,America/Los_Angeles,5740900,medium
5741182,Molalla,45.14734,-122.57703,OR,005,8972,America/Los_Angeles,5741182,medium
5741227,Monmouth,44.84845,-123.23399,OR,053,10032,America/Los_Angeles,5741227,medium
5742726,Newberg,45.30012,-122.97316,OR,071,22780,America/Los_Angeles,5742726,medium
5742750,Newport,44.63678,-124.05345,OR,041,10268,America/Los_Angeles,5742750,medium
5742974,North Bend,43.4065,-124.22428,OR,011,9673,America/Los_Angeles,5742974,medium
5743422,North Portland,45.61039,-122.70343,OR,051,7000,America/Los_Angeles,5743422,medium
5743731,Oak Grove,45.41679,-122.64009,OR,005,16629,America/Los_Angeles,5743731,medium
5743753,Oak Hills,45.54123,-122.84121,OR,067,11333,America/Los_Angeles,5743753,medium
5744166,Ontario,44.02655,-116.96294,OR,045,10999,America/Boise,5744166,medium
5744253,Oregon City,45.35734,-122.60676,OR,005,35831,America/Los_Angeles,5744253,large
5745380,Pendleton,45.67207,-118.7886,OR,059,16881,America/Los_Angeles,5745380,medium
5746545,Portland,45.52345,-122.67621,OR,051,652503,America/Los_Angeles,5746545,metro
5746901,Prineville,44.29985,-120.83447,OR,013,9530,America/Los_Angeles,5746901,medium
5747420,Raleigh Hills,45.48067,-122.76204,OR,067,5896,America/Los_Angeles,5747420,medium
5747882,Redmond,44.27262,-121.17392,OR,017,28654,America/Los_Angeles,5747882,large
5749017,Rockcreek,45.55012,-122.87705,OR,067,9316,America/Los_Angeles,5749017,medium
5749352,Roseburg,43.2165,-123.34174,OR,019,22114,America/Los_Angeles,5749352,medium
5750041,Saint Helens,45.864,-122.80649,OR,009,12883,America/Los_Angeles,5750041,medium
5750162,Salem,44.9429,-123.0351,OR,047,175535,America/Los_Angeles,5750162,major
5750477,Sandy,45.39734,-122.26148,OR,005,10644,America/Los_Angeles,5750477,medium
5750663,Scappoose,45.75428,-122.8776,OR,009,6954,America/Los_Angeles,5750663,medium
