FAC,LOC,GPE,time,Latitude,Longitude,state_code,state_name,county_name,county_fips,city_name,city_id,population
,,Ocala,2024-09-26 02:50:39+00:00,29.1871986,-82.1400923,FL,Florida,Marion,12083,Ocala,4166673,58218
,,FLORIDA,2024-09-26 02:50:26+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:49:34+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:47:08+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Buncombe, Henderson",2024-09-26 02:46:52+00:00,35.31485510783134,-82.46491738991264,NC,North Carolina,Henderson,37089,Hendersonville,4470592,13814
,,"Florida, Tallahassee",2024-09-26 02:46:06+00:00,30.4380832,-84.2809332,FL,Florida,Leon,12073,Tallahassee,4174715,201731
,,Florida,2024-09-26 02:45:33+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"JAX, Tallahassee",2024-09-26 02:44:47+00:00,30.38934200106874,-81.68147524021059,FL,Florida,Duval,12031,Jacksonville,4160021,1009833
,,Florida,2024-09-26 02:44:05+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,FLORIDA,2024-09-26 02:43:20+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:42:10+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:42:05+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:41:32+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:40:33+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:40:12+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:40:06+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:39:31+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:39:26+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:37:14+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:36:44+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Charlotte,2024-09-26 02:36:38+00:00,35.2272086,-80.8430827,NC,North Carolina,Mecklenburg,37119,Charlotte,4460243,911311
,,Florida,2024-09-26 02:35:09+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:33:46+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:33:37+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:33:35+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:32:27+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Lawrenceville,2024-09-26 02:32:00+00:00,33.9566391,-83.9890066,GA,Georgia,Gwinnett,13135,Lawrenceville,4205196,30493
,,Florida,2024-09-26 02:31:12+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Atlanta, Georgia",2024-09-26 02:30:58+00:00,33.7489924,-84.3902644,GA,Georgia,Fulton,13121,Atlanta,4180439,510823
,,Pasco County,2024-09-26 02:30:11+00:00,28.2996183,-82.4522702,FL,Florida,Pasco,12101,Connerton,7315224,2116
,,Broward County,2024-09-26 02:29:25+00:00,26.15713125,-80.45499690290379,FL,Florida,Broward,12011,Weston,4178003,69959
,,Florida,2024-09-26 03:58:38+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 03:57:50+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Largo Fl,2024-09-26 03:56:52+00:00,27.9094665,-82.7873244,FL,Florida,Pinellas,12103,Largo,4161580,81000
,,Florida,2024-09-26 03:53:34+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Orlando,2024-09-26 03:50:28+00:00,28.5421109,-81.3790304,FL,Florida,Orange,12095,Orlando,4167147,334854
,,Florida,2024-09-26 03:49:53+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 03:47:57+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Florida, US",2024-09-26 03:45:58+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
